产品名称,原料,原料浓度,生产产量,月度目标
RT培司,苯胺,100%,35.19,435
RT培司,氮气,100%,35.19,45
RT培司,盐酸,31%,35.19,8
RT培司,硝基苯,100%,35.19,805
RT培司,甲醇,100%,35.19,3
RT培司,氢气,100%,35.19,27
防老剂TMQ,苯胺,100%,80.2,537
防老剂TMQ,丙酮,100%,80.2,681
防老剂TMQ,盐酸,31%,80.2,315
防老剂TMQ,烧碱,32%,80.2,440
防老剂6PPD,RT培司,100%,17,697.5
防老剂6PPD,氮气,100%,17,65
防老剂6PPD,甲酮,100%,17,385.2
防老剂6PPD,氢气,100%,17,12.1
防老剂4010NA,RT培司,100%,37,820
防老剂4010NA,氮气,100%,37,50
防老剂4010NA,丙酮,100%,37,285
防老剂4010NA,氢气,100%,37,17
环己酮,纯苯,100%,275,990
环己酮,氢气,100%,275,70
环己酮,烧碱,32%,275,503
合成氨,原料煤,100%,965.25,1485
合成氨,氮气,100%,965.25,-100
氢气,原料煤,100%,141.651,8150
氢气,氮气,100%,141.651,-310
浓硝酸,稀硝酸,50%,618.537,2060
苯胺,氮气,100%,630.706,4
烧碱,氮气,100%,2692.53938,15
苯胺,硝基苯,100%,630.706,1337
苯胺,氢气,100%,630.706,68
氯化苯,氮气,100%,338.001,16
硝基苯,纯苯,100%,891.397,635.8
硝基苯,浓硝酸,98%,891.397,534
硝基苯,烧碱,32%,891.397,36
硝基苯,硫酸,98%,891.397,15.66
硝基苯,稀硫酸,70%,891.397,-776.53
硝基苯,硫酸,86%,891.397,636.85
烧碱,硫酸,98%,2692.53938,20
烧碱,稀硫酸,70%,2692.53938,-16
烧碱,工业盐,100%,2692.53938,940
浓硝酸,烧碱,32%,618.537,15
烧碱,盐卤,100%,2692.53938,580
烧碱,纯碱,100%,2692.53938,4
烧碱,烧碱,100%,2692.53938,19.5
烧碱,氯气,100%,2692.53938,-885
烧碱,氢气,100%,2692.53938,-25
浓硝酸,硝酸镁,100%,618.537,1
氯化苯,纯苯,100%,338.001,727.3
烧碱,盐酸,100%,2692.53938,110
氯化苯,氯气,100%,338.001,661
氯化苯,烧碱,32%,338.001,60
氯化苯,盐酸,31%,338.001,-1000
氯化苯,工业盐,92%,338.001,2
